Identity	Bloc	Trt	Wound	Strain	Initial_Mass	Initial_Number	2	4	7	9	11	14	16	18	2	4	7	9	11	14	16	18
8-Can5ConNon-B5	B5	Con	Non	Can	4608	10	4971	6912	7935	8114	9731	12285	13087	13049	10	10	10	10	10	10	10	10
9-Gre5ConNon-B5	B5	Con	Non	Gre	5282	10	6900	7699	8026	11370	12451	12715	13246	13458	10	10	10	10	10	10	10	10
10-Gre5ConSte-B5	B5	Con	Ste	Gre	4069	10	5786	6084	6272	8646	9953	10753	11427	11780	10	10	10	10	10	10	10	10
11-Ita5ConSte-B5	B5	Con	Ste	Ita	6032	10	6667	6793	8751	9833	10941	13416	13641	13576	10	10	10	10	10	10	10	10
12-Can5ConSte-B5	B5	Con	Ste	Can	4157	10	4496	5287	6601	7187	8372	9790	10493	10475	10	10	10	10	10	10	10	10
13-Gre5LevNon-B5	B5	Lev	Non	Gre	5535	10	6037	7108	8450	9924	11282	12439	13134	11585	9	9	9	9	9	9	9	8
14-Ita5LevNon-B5	B5	Lev	Non	Ita	5800	10	7513	8481	9225	11150	12908	14225	13577	13510	10	10	10	10	10	10	10	10
15-Can5LevNon-B5	B5	Lev	Non	Can	5125	10	5869	6346	7527	8055	9534	11558	11675	11447	10	9	9	9	9	9	9	9
16-Can5BacNon-B5	B5	Bac	Non	Can	3935	10	4297	4652	6453	7589	8174	9919	11109	11374	10	10	10	10	10	10	10	10
17-Ita5BacNon-B5	B5	Bac	Non	Ita	4979	10	5499	6881	8035	8968	10412	12328	12530	12406	10	10	10	10	10	10	10	10
18-Gre5BacNon-B5	B5	Bac	Non	Gre	5015	10	6571	7168	8420	9955	10236	12081	13169	12977	10	10	10	10	9	9	9	9
19-Ita5BacSte-B5	B5	Bac	Ste	Ita	4275	9	5148	6136	6541	7826	8905	10096	10817	10880	10	10	10	10	10	10	10	10
20-Gre5BacSte-B5	B5	Bac	Ste	Gre	5112	10	6331	7197	8026	8715	10718	11136	11843	10692	10	10	10	10	10	10	10	8
21-Can5BacSte-B5	B5	Bac	Ste	Can	4841	10	5487	6168	6607	7915	8834	9672	9880	10178	10	10	10	10	10	10	10	10
22-Gre5LevSte-B5	B5	Lev	Ste	Gre	6380	10	7022	8078	9266	10630	12347	13190	12226	10481	10	10	10	10	10	10	9	8
23-Ita5LevSte-B5	B5	Lev	Ste	Ita	7388	10	8167	9153	10196	10810	12850	14649	13243	12931	10	10	10	10	10	10	9	9
24-Can5LevSte-B5	B5	Lev	Ste	Can	4762	10	6518	7830	7531	9759	11053	11716	11681	11515	10	10	10	10	10	10	10	10
25-Ita5ConSer-B5	B5	Con	Ser	Ita	6496	10	7039	8048	8072	10175	10324	10715	11923	12359	10	10	10	10	9	9	9	9
26-Can5ConSer-B5	B5	Con	Ser	Can	4256	10	3646	2742	3433	3971	3813	4047	3441	3408	9	7	7	7	6	6	5	4
