Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Grèce	GreEBact	5	E	Bact	10	10	10	10	10	7	6	4	2	1	0	0
Canada	CanDSte	5	D	Ste	10	10	10	10	10	7	5	3	1	1	0	0
Italie	ItaDSte	5	D	Ste	10	10	10	10	9	2	1	0	0	0	0	0
Grèce	GreDSte	5	D	Ste	10	10	10	9	9	4	1	0	0	0	0	0
Canada	CanPBact	5	P	Bact	10	10	10	10	10	9	7	5	3	1	1	1
Italie	ItaPBact	5	P	Bact	10	10	10	8	6	5	0	0	0	0	0	0
Grèce	GrePBact	5	P	Bact	10	10	10	9	7	2	0	0	0	0	0	0
Italie	ItaPSte	5	P	Ste	10	10	10	7	7	2	0	0	0	0	0	0
Canada	CanPSte	5	P	Ste	10	10	10	8	8	6	3	3	1	1	1	1
Grèce	GrePSte	5	P	Ste	10	10	10	10	9	2	0	0	0	0	0	0
Italie	ItaESte	5	E	Ste	10	10	10	10	10	5	5	5	3	1	1	1
Grèce	GreESte	5	E	Ste	10	10	10	10	10	8	7	5	5	3	2	2
Canada	CanESte	5	E	Ste	10	9	9	10	10	9	8	8	5	2	1	1
Italie	ItaDBact	5	D	Bact	11	10	10	9	6	0	0	0	0	0	0	0
Canada	CanDBact	5	D	Bact	10	10	10	10	10	4	3	2	0	0	0	0
Grèce	GreDBact	5	D	Bact	10	10	10	10	6	2	0	0	0	0	0	0
Italie	ItaCBact	5	C	Bact	10	10	10	8	3	1	0	0	0	0	0	0
Grèce	GreCBact	5	C	Bact	10	10	10	9	8	5	1	1	1	1	0	0
Canada	CanCBact	5	C	Bact	10	10	10	7	8	7	1	0	0	0	0	0
Italie	ItaEBact	6	E	Bact	10	10	10	9	8	7	3	2	2	1	1	0
Grèce	GreEBact	6	E	Bact	10	10	10	10	10	9	8	5	4	4	3	2
Canada	CanEBact	6	E	Bact	10	10	10	10	9	7	7	5	5	5	5	4
Canada	CanPSte	6	P	Ste	10	10	10	10	9	7	2	0	0	0	0	0
