Colonie	Nombre	Incubateur	Bloc	Traitement	Piqure	code_names	randomized_vector
Canada	10	Aléatoire	B6	Contrôle	Serratia	Can6ConSer	13
Grèce	10	Aléatoire	B6	Contrôle	Serratia	Gre6ConSer	14
Italie	10	Aléatoire	B6	Contrôle	Serratia	Ita6ConSer	15
Canada	10	Aléatoire	B6	Levucell	Serratia	Can6LevSer	16
Grèce	10	Aléatoire	B6	Levucell	Serratia	Gre6LevSer	17
Italie	10	Aléatoire	B6	Levucell	Serratia	Ita6LevSer	18
Canada	10	Aléatoire	B6	Bactocell	Stérile	Can6BacSte	19
Grèce	10	Aléatoire	B6	Bactocell	Stérile	Gre6BacSte	20
Italie	10	Aléatoire	B6	Bactocell	Stérile	Ita6BacSte	21
Canada	10	Aléatoire	B6	Contrôle	Stérile	Can6ConSte	22
Grèce	10	Aléatoire	B6	Contrôle	Stérile	Gre6ConSte	23
Italie	10	Aléatoire	B6	Contrôle	Stérile	Ita6ConSte	24
Canada	10	Aléatoire	B6	Levucell	Stérile	Can6LevSte	25
Grèce	10	Aléatoire	B6	Levucell	Stérile	Gre6LevSte	26
Italie	10	Aléatoire	B6	Levucell	Stérile	Ita6LevSte	27
Canada	10	Aléatoire	B7	Bactocell	Non	Can7BacNon	1
Grèce	10	Aléatoire	B7	Bactocell	Non	Gre7BacNon	2
Italie	10	Aléatoire	B7	Bactocell	Non	Ita7BacNon	3
Canada	10	Aléatoire	B7	Contrôle	Non	Can7ConNon	4
Grèce	10	Aléatoire	B7	Contrôle	Non	Gre7ConNon	5
Italie	10	Aléatoire	B7	Contrôle	Non	Ita7ConNon	6
Canada	10	Aléatoire	B7	Levucell	Non	Can7LevNon	7
Grèce	10	Aléatoire	B7	Levucell	Non	Gre7LevNon	8
Italie	10	Aléatoire	B7	Levucell	Non	Ita7LevNon	9
Canada	10	Aléatoire	B7	Bactocell	Serratia	Can7BacSer	10
Grèce	10	Aléatoire	B7	Bactocell	Serratia	Gre7BacSer	11
Italie	10	Aléatoire	B7	Bactocell	Serratia	Ita7BacSer	12
Canada	10	Aléatoire	B7	Contrôle	Serratia	Can7ConSer	13
Grèce	10	Aléatoire	B7	Contrôle	Serratia	Gre7ConSer	14
Italie	10	Aléatoire	B7	Contrôle	Serratia	Ita7ConSer	15
Canada	10	Aléatoire	B7	Levucell	Serratia	Can7LevSer	16
Grèce	10	Aléatoire	B7	Levucell	Serratia	Gre7LevSer	17
Italie	10	Aléatoire	B7	Levucell	Serratia	Ita7LevSer	18
Canada	10	Aléatoire	B7	Bactocell	Stérile	Can7BacSte	19
Grèce	10	Aléatoire	B7	Bactocell	Stérile	Gre7BacSte	20
Italie	10	Aléatoire	B7	Bactocell	Stérile	Ita7BacSte	21
Canada	10	Aléatoire	B7	Contrôle	Stérile	Can7ConSte	22
Grèce	10	Aléatoire	B7	Contrôle	Stérile	Gre7ConSte	23
Italie	10	Aléatoire	B7	Contrôle	Stérile	Ita7ConSte	24
Canada	10	Aléatoire	B7	Levucell	Stérile	Can7LevSte	25
Grèce	10	Aléatoire	B7	Levucell	Stérile	Gre7LevSte	26
Italie	10	Aléatoire	B7	Levucell	Stérile	Ita7LevSte	27
Canada	10	Aléatoire	B8	Bactocell	Non	Can8BacNon	1
Grèce	10	Aléatoire	B8	Bactocell	Non	Gre8BacNon	2
Italie	10	Aléatoire	B8	Bactocell	Non	Ita8BacNon	3
Canada	10	Aléatoire	B8	Contrôle	Non	Can8ConNon	4
Grèce	10	Aléatoire	B8	Contrôle	Non	Gre8ConNon	5
Italie	10	Aléatoire	B8	Contrôle	Non	Ita8ConNon	6
Canada	10	Aléatoire	B8	Levucell	Non	Can8LevNon	7
Grèce	10	Aléatoire	B8	Levucell	Non	Gre8LevNon	8
Italie	10	Aléatoire	B8	Levucell	Non	Ita8LevNon	9
