NomTrt	M2M1	M3M2	M4M3	M5M4	M6M5	M7M6	M8M7	M9M8	M10M9	M11M10	M12M11	M13M12	M14M13
Inv1B7	16	-6	13	27	29	41	-1	-33	97	-12	-7	11	149
GreB	27	30	44	12	22	-28	84	-2	45	39	66	58	39
EspB7	15	28	10	34	0	46	20	-21	24	8	51	6	24
AllC7	96	-19	29	29	-6	9	42	33	39	14	30	25	6
Ita1B7	36	32	13	20	5	19	-8	63	111	42	82	-32	46
AllB	45	-11	23	43	-27	42	-6	14	50	5	63	-21	5
Inv2C7	37	20	26	2	22	4	66	53	12	1	75	-1	43
FraC7	53	21	40	-10	42	83	6	28	61	7	49	34	16
WorB7	29	8	26	3	55	8	63	35	26	-11	31	28	-31
Inv1B8	40	25	19	27	12	3	11	9	82	46	12	26	6
AllB8	-27	6	6	17	19	16	10	13	-47	71	100	17	19
AllC8	69	29	20	29	-12	32	32	13	108	-61	115	10	30
WorC8	77	-13	2	4	31	-6	48	32	43	0	45	31	-30
TurB8	74	-7	14	11	32	-26	3	29	18	10	34	21	11
WorB8	32	22	7	30	13	-4	40	21	43	21	40	35	-18
EspC8	66	12	15	15	29	4	15	-147	270	25	18	35	80
Ita2B8	37	28	-15	28	30	27	12	24	66	45	0	85	9
Inv2C8	36	30	19	8	43	10	26	13	56	10	10	47	22
GreB8	31	138	-105	8	16	0	32	167	-80	0	48	6	28
EspB8	56	13	6	24	-23	18	13	92	198	81	-12	42	27
FraC8	34	5	13	27	41	-15	40	25	29	10	18	30	29
Ita1C8	40	24	9	8	21	13	51	10	55	21	6	19	-16
FraB8	14	7	4	13	-2	1	-18	61	30	19	30	-14	-23
TurC8	63	38	19	17	30	-9	21	23	74	35	47	38	-27
Ita2C8	22	22	5	26	18	4	23	-25	94	20	12	-1	1
Inv2B8	3	33	-6	4	20	-4	8	13	683	-624	17	19	-4
GreC8	64	22	13	-4	68	7	35	51	52	-11	23	50	22
Inv1C8	56	14	38	-4	36	10	43	54	44	49	35	-3	14
Ita1B8	32	31	14	35	10	25	21	6	81	31	-3	14	-33
Ita1B9	61	1	18	53	-21	12	12	56	41	31	117	0	2
TurB9	41	4	13	15	28	22	44	-13	50	81	-60	0	24
Inv2C9	23	11	35	9	-54	71	34	35	20	50	-29	57	51
FraB9	38	17	24	19	-9	-8	114	-23	36	17	35	26	-17
WorC9	40	18	-3	43	19	32	48	8	16	41	99	9	57
TurC9	36	46	43	22	5	16	33	32	99	42	68	45	9
AllC9	75	21	-10	19	17	3	49	33	38	25	42	32	-8
GreC9	38	13	21	35	12	29	50	33	87	28	63	-5	57
AllB9	54	-5	8	11	3	19	23	9	61	17	-8	39	63
Inv2B9	53	-21	51	7	24	33	16	28	151	0	-67	-44	8
Inv1C9	34	7	16	14	-19	37	23	32	43	16	102	22	57
EspC9	61	12	29	58	14	-74	89	56	24	38	61	8	69
GreB9	11	9	22	20	9	-1	28	27	87	58	-10	MV	MV
Ita2B9	86	7	9	15	-1	31	38	17	37	13	3	24	64
Inv1B9	15	7	10	13	-19	118	-16	24	-2	26	20	63	18
FraC9	53	-8	24	35	-4	-25	84	27	57	16	30	37	41
WorB9	40	5	39	11	46	-31	15	202	-138	5	29	-35	33
Ita2C9	43	19	24	25	5	19	25	40	71	42	76	22	29
Ita1C9	41	22	38	19	13	0	-27	74	93	55	35	52	98
EspB9	20	17	50	6	27	-8	41	24	-15	1247	-1185	-8	-9
Ita1C10	67	23	48	-4	1	7	27	14	53	39	45	8	99
FraB10	20	14	26	2	8	16	9	41	14	23	-8	-12	20
Ita1B10	28	9	42	-7	2	20	-5	16	16	-10	-2	63	34
WorC10	43	18	24	18	-1	9	27	44	35	36	-14	62	16
Inv1C10	89	17	12	2	23	23	54	69	43	245	-165	-5	63
Ita2B10	45	12	14	22	-8	21	11	67	41	44	54	38	-43
Inv2B10	41	19	18	2	237	-243	53	49	58	36	15	-3	239
Inv1B10	22	14	33	-108	111	2	26	55	98	11	17	165	-193
FraC10	51	18	29	1	14	14	-296	358	28	37	28	41	-19
EspB10	27	2	21	20	31	12	-7	19	0	103	22	15	24
Ita2C10	54	6	11	7	26	30	32	2	-132	210	-2	-20	30
EspC10	142	-80	17	22	8	13	31	31	-35	92	33	2	87
GreB10	29	8	14	28	3	33	14	10	60	38	127	1068	-988
Inv2C10	53	17	10	28	-1	45	22	31	80	48	35	30	58
TurB10	67	31	8	16	26	-4	13	38	57	87	-119	136	80
WorB10	37	23	30	24	11	9	12	4	101	-6	12	33	33
TurC10	61	26	25	21	-11	16	51	19	66	52	41	2	25
AllB10	57	15	46	35	-8	16	-7	25	60	61	11	73	8
GreC10	72	12	18	30	-19	10	60	64	45	12	56	12	29
AllC10	89	31	22	11	10	-6	49	16	20	71	86	-38	MV
