Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Italie	ItaEBact	4	E	Bact	4394	6248	8528	9583	10346	9095	6508	5605	4230	1369	1503	1468
Italie	ItaDBact	4	D	Bact	4842	5500	8752	10356	10677	4255	1280	NA	NA	NA	NA	NA
Canada	CanDBact	4	D	Bact	3876	5897	8771	8915	10098	6003	2904	1208	NA	NA	NA	NA
Grèce	GreDBact	4	D	Bact	4171	7597	9654	10129	7778	3355	1530	NA	NA	NA	NA	NA
Canada	CanDSte	4	D	Ste	3556	5205	7809	8815	10404	5506	2573	NA	NA	NA	NA	NA
Italie	ItaDSte	4	D	Ste	4047	7252	9807	8848	7679	1615	NA	NA	NA	NA	NA	NA
Grèce	GreDSte	4	D	Ste	3568	7142	10064	13030	12348	6459	1563	1595	NA	NA	NA	NA
Grèce	GreCSte	4	C	Ste	3952	7087	7404	11887	12500	8932	6065	1412	1344	NA	NA	NA
Canada	CanCSte	4	C	Ste	3722	6411	8983	8883	12200	6744	2981	2953	1535	NA	NA	NA
Italie	ItaCSte	4	C	Ste	4180	7354	10988	9576	5854	1407	NA	NA	NA	NA	NA	NA
Canada	CanESte	4	E	Ste	3734	4826	6412	7440	9517	10920	7891	6395	2687	2620	1721	1756
Grèce	GreESte	4	E	Ste	4592	6687	8030	9011	9882	9684	6638	2263	NA	NA	NA	NA
Italie	ItaESte	4	E	Ste	4231	6554	7973	9226	6914	3933	3934	2876	2678	NA	NA	NA
Grèce	GreCSte	5	C	Ste	3544	7010	9063	11075	11049	4888	2000	NA	NA	NA	NA	NA
Canada	CanCSte	5	C	Ste	3134	5617	7755	10196	12389	7602	4079	866	1093	1224	1218	1379
Italie	ItaCSte	5	C	Ste	3825	7162	10602	10034	9127	2907	NA	NA	NA	NA	NA	NA
Italie	ItaEBact	5	E	Bact	3210	4508	6236	7668	8860	8891	6201	5343	5552	3337	2173	2169
