Rep,Bloc,Trt,Strain,Time,Mass,Number,Mean,Survival,Biomass
EspB10,B10,B,Esp,2,2871,9,319,9,2871
EspB10,B10,B,Esp,3,2890,9,321.1111111111111,9,2890
EspB10,B10,B,Esp,4,3075,9,341.6666666666667,9,3075
EspB10,B10,B,Esp,5,3254,9,361.55555555555554,9,3254
EspB10,B10,B,Esp,6,3530,9,392.22222222222223,9,3530
EspB10,B10,B,Esp,7,3640,9,404.44444444444446,9,3640
EspB10,B10,B,Esp,8,3579,9,397.6666666666667,9,3579
EspB10,B10,B,Esp,9,3750,9,416.6666666666667,9,3750
EspB2,B2,B,Esp,0,2321,10,232.1,10,2321
EspB2,B2,B,Esp,1,2764,10,276.4,10,2764
EspB2,B2,B,Esp,10,3724,9,413.77777777777777,9,3724
EspB2,B2,B,Esp,11,3943,9,438.1111111111111,9,3943
EspB2,B2,B,Esp,12,4040,9,448.8888888888889,9,4040
EspB2,B2,B,Esp,13,3713,8,464.125,8,3713
EspB2,B2,B,Esp,14,3722,8,465.25,8,3722
EspB2,B2,B,Esp,2,3028,10,302.8,10,3028
EspB2,B2,B,Esp,3,3013,10,301.3,10,3013
EspB2,B2,B,Esp,4,3229,10,322.9,10,3229
EspB2,B2,B,Esp,5,3288,10,328.8,10,3288
EspB2,B2,B,Esp,6,3335,10,333.5,10,3335
EspB2,B2,B,Esp,7,2889,9,321,9,2889
EspB2,B2,B,Esp,8,3259,9,362.1111111111111,9,3259
EspB2,B2,B,Esp,9,3472,9,385.77777777777777,9,3472
EspB3,B3,B,Esp,0,2830,10,283,10,2830
EspB3,B3,B,Esp,1,2654,8,331.75,8,2654
EspB3,B3,B,Esp,10,3497,6,582.8333333333334,6,3497
EspB3,B3,B,Esp,11,3588,6,598,6,3588
EspB3,B3,B,Esp,12,3417,6,569.5,6,3417
EspB3,B3,B,Esp,13,3479,6,579.8333333333334,6,3479
EspB3,B3,B,Esp,14,3429,6,571.5,6,3429
EspB3,B3,B,Esp,2,2856,8,357,8,2856
EspB3,B3,B,Esp,3,3047,8,380.875,8,3047
EspB3,B3,B,Esp,4,3060,8,382.5,8,3060
EspB3,B3,B,Esp,5,3182,8,397.75,8,3182
EspB3,B3,B,Esp,6,3243,8,405.375,8,3243
EspB3,B3,B,Esp,7,3238,8,404.75,8,3238
EspB3,B3,B,Esp,8,3440,8,430,8,3440
EspB3,B3,B,Esp,9,3466,7,495.14285714285717,7,3466
EspB4,B4,B,Esp,0,2351,10,235.1,10,2351
EspB4,B4,B,Esp,1,2461,9,273.44444444444446,9,2461
EspB4,B4,B,Esp,10,4015,8,501.875,8,4015
EspB4,B4,B,Esp,11,4034,8,504.25,8,4034
EspB4,B4,B,Esp,12,4770,8,596.25,8,4770
EspB4,B4,B,Esp,13,5104,8,638,8,5104
EspB4,B4,B,Esp,14,5263,8,657.875,8,5263
EspB4,B4,B,Esp,2,2669,9,296.55555555555554,9,2669
EspB4,B4,B,Esp,3,2774,9,308.22222222222223,9,2774
EspB4,B4,B,Esp,4,2845,8,355.625,8,2845
EspB4,B4,B,Esp,5,3064,8,383,8,3064
EspB4,B4,B,Esp,6,3101,8,387.625,8,3101
EspB4,B4,B,Esp,7,3193,8,399.125,8,3193
EspB4,B4,B,Esp,8,3615,8,451.875,8,3615
EspB4,B4,B,Esp,9,3672,8,459,8,3672
EspB5,B5,B,Esp,0,2160,10,216,10,2160
EspB5,B5,B,Esp,1,2405,9,267.22222222222223,9,2405
EspB5,B5,B,Esp,10,4089,9,454.3333333333333,9,4089
EspB5,B5,B,Esp,11,3651,8,456.375,8,3651
EspB5,B5,B,Esp,12,3715,8,464.375,8,3715
EspB5,B5,B,Esp,13,3711,7,530.1428571428571,7,3711
EspB5,B5,B,Esp,14,3708,7,529.7142857142857,7,3707.9999999999995
EspB5,B5,B,Esp,2,2629,9,292.1111111111111,9,2629
EspB5,B5,B,Esp,3,2766,9,307.3333333333333,9,2766
EspB5,B5,B,Esp,4,2892,9,321.3333333333333,9,2892
EspB5,B5,B,Esp,5,3103,9,344.77777777777777,9,3103
EspB5,B5,B,Esp,6,3068,9,340.8888888888889,9,3068
EspB5,B5,B,Esp,7,3162,9,351.3333333333333,9,3162
EspB5,B5,B,Esp,8,3547,9,394.1111111111111,9,3547
EspB5,B5,B,Esp,9,3784,9,420.44444444444446,9,3784
EspB6,B6,B,Esp,0,2600,10,260,10,2600
EspB6,B6,B,Esp,1,2852,10,285.2,10,2852
EspB6,B6,B,Esp,10,4892,10,489.2,10,4892
EspB6,B6,B,Esp,11,5064,10,506.4,10,5064
EspB6,B6,B,Esp,12,5125,10,512.5,10,5125
EspB6,B6,B,Esp,13,5240,10,524,10,5240
EspB6,B6,B,Esp,14,5567,10,556.7,10,5567
EspB6,B6,B,Esp,2,3136,10,313.6,10,3136
EspB6,B6,B,Esp,3,3316,10,331.6,10,3316
EspB6,B6,B,Esp,4,3475,10,347.5,10,3475
EspB6,B6,B,Esp,5,3596,10,359.6,10,3596
EspB6,B6,B,Esp,6,3749,10,374.9,10,3749
EspB6,B6,B,Esp,7,3972,10,397.2,10,3972
EspB6,B6,B,Esp,8,4425,10,442.5,10,4425
EspB6,B6,B,Esp,9,4804,10,480.4,10,4804
EspB7,B7,B,Esp,0,2544,10,254.4,10,2544
EspB7,B7,B,Esp,1,2779,9,308.77777777777777,9,2779
