Rep,Bloc,Souche,Traitement,Piq,Ini,7,8,9,10,11
CanPSte5,5,Canada,P,Ste,405.6,200.89999999999998,496.1,594.4,908.025,895.4
CanPSte6,6,Canada,P,Ste,320.9,300.6,507.20000000000005,803.6,1050.1,1144.2428571428572
CanPSte7,7,Canada,P,Ste,297.8,210.3,525.0999999999999,680.0999999999999,906.9777777777779,1050.95
CanPSte8,8,Canada,P,Ste,285,219.10000000000002,464.5,688.9,964.0999999999999,1018.375
CanPSte9,9,Canada,P,Ste,232,212,422.5,605.4,955.2,985.8333333333333
GreCBact1,1,Grèce,C,Bact,428.1,328.4,527.5,800.1999999999999,939.9,912.15
GreCBact10,10,Grèce,C,Bact,301.2,197.60000000000002,433.09999999999997,658.0222222222221,813.2444444444443,1048.1333333333332
GreCBact2,2,Grèce,C,Bact,302.9,369.80000000000007,699.6,792.4,1053.975,1169.4333333333334
GreCBact3,3,Grèce,C,Bact,415.6,358.9,705.7333333333332,743.7333333333332,1074.1999999999998,1090.4
GreCBact4,4,Grèce,C,Bact,420.6,321.4,606.3000000000001,787.65,974.1999999999999,1169.4
GreCBact5,5,Grèce,C,Bact,317.3,240.3,510.8,693.9222222222222,983.575,1138.5
GreCBact6,6,Grèce,C,Bact,376.8,280.7,494.7,765.9777777777779,981.4222222222222,1107.0333333333333
GreCBact7,7,Grèce,C,Bact,345.4,251.70000000000005,8.700000000000045,712.0444444444444,1085.7428571428572,1035.9333333333334
GreCBact8,8,Grèce,C,Bact,301.8,213.8,548.3,818.5,1010.2,1309.95
GreCBact9,9,Grèce,C,Bact,229.2,181.9111111111111,536.05,741.925,1046.3,1211.3
GreCSte1,1,Grèce,C,Ste,336.2,363.59999999999997,634.2,841,1156.5142857142857,1160.3999999999999
GreCSte10,10,Grèce,C,Ste,314.8,258.49999999999994,610.0999999999999,923.7,1104.4222222222222,1003.7
GreCSte2,2,Grèce,C,Ste,391.7,336.40000000000003,751.0999999999999,916,1085.9666666666667,NA
GreCSte3,3,Grèce,C,Ste,400.8,297.90000000000003,734.8666666666668,789.088888888889,1001.9142857142858,1049.3666666666668
GreCSte4,4,Grèce,C,Ste,395.2,313.50000000000006,345.2,793.5,993.6888888888889,1093.4666666666667
GreCSte5,5,Grèce,C,Ste,354.4,346.6,551.9,753.1,1026.725,1274.9333333333334
GreCSte6,6,Grèce,C,Ste,344.8,312.40000000000003,460.99999999999994,638.7,912.7555555555557,1064.2
GreCSte7,7,Grèce,C,Ste,304.2,284.2,703.4000000000001,873.8999999999999,983.175,1262.2
GreCSte8,8,Grèce,C,Ste,335,202.89999999999998,565,718.4444444444443,956.8888888888889,1156.4444444444443
GreCSte9,9,Grèce,C,Ste,254.7,271.59999999999997,531.4000000000001,830.8999999999999,1124.7444444444443,1171.3
GreDBact1,1,Grèce,D,Bact,333.8,348.3,568.8,844.1000000000001,1167.95,1293.2
GreDBact10,10,Grèce,D,Bact,302.4,256.8222222222222,573.3777777777779,860.3777777777779,1124.225,968.1
GreDBact2,2,Grèce,D,Bact,384.7,360.59999999999997,822.5,909,1237.1571428571428,1198.3
GreDBact3,3,Grèce,D,Bact,417.4,315.30000000000007,678.6,820.225,1181.6,1337.9333333333334
GreDBact4,4,Grèce,D,Bact,417.1,342.6,548.3,849.025,1138.5,1260.4
GreDBact5,5,Grèce,D,Bact,341.4,356.4,629.3000000000001,429.30000000000007,1178.7666666666669,1154.6
GreDBact6,6,Grèce,D,Bact,335.5,303.5,588.7,736.1666666666667,1077.7857142857142,1199
GreDBact7,7,Grèce,D,Bact,369.1,298.69999999999993,847.4999999999999,1118.011111111111,1272.6142857142859,1156.9
GreDBact8,8,Grèce,D,Bact,288.4,302.80000000000007,591.9,893.5000000000001,1121.6,1164.1
GreDBact9,9,Grèce,D,Bact,265.6,234.7,715.6999999999999,872.9999999999999,1139.275,1301.9
GreDSte1,1,Grèce,D,Ste,365.4,380.30000000000007,596.3000000000001,891.2666666666668,1121.1999999999998,1190.35
GreDSte10,10,Grèce,D,Ste,304.3,287.99999999999994,525.5,832.3,903.0333333333333,1119.0333333333333
GreDSte2,2,Grèce,D,Ste,380,329.9,787.7,844.125,1202.4,1232.5
GreDSte3,3,Grèce,D,Ste,381.8,365.99999999999994,663.9000000000001,836.95,923.5333333333333,901.7
GreDSte4,4,Grèce,D,Ste,356.8,357.40000000000003,649.5999999999999,946.2,1186.7,1257.95
GreDSte5,5,Grèce,D,Ste,391.7,309.40000000000003,595.2,808.411111111111,1174.6333333333332,1108.3
GreDSte6,6,Grèce,D,Ste,337.8,349.2,620.2,893.7,1035.0333333333333,1241.8666666666668
GreDSte7,7,Grèce,D,Ste,291.9,321.1,781.5000000000001,846.9,1238.1,1396.9
GreDSte8,8,Grèce,D,Ste,345.4,332.80000000000007,444.4,805.0000000000001,1047.2666666666669,1209.6
GreDSte9,9,Grèce,D,Ste,203.6,196.4,491.5,773.1999999999999,1212.8000000000002,1291.6857142857143
GreEBact1,1,Grèce,E,Bact,419.6,195,315.9,417.69999999999993,592.525,682.4
GreEBact10,10,Grèce,E,Bact,293.3,116,303.99999999999994,400.99999999999994,709.7,945.1000000000001
GreEBact2,2,Grèce,E,Bact,390.5,158.29999999999995,473,496.29999999999995,738,827.625
GreEBact3,3,Grèce,E,Bact,411.6,181.29999999999995,311.4,418.19999999999993,714.1999999999999,777.15
GreEBact4,4,Grèce,E,Bact,469.4,226.89999999999998,413.70000000000005,566.4,729.6,979.4333333333333
GreEBact5,5,Grèce,E,Bact,429.5,202.89999999999998,343,506.6,754,869.0714285714287
GreEBact6,6,Grèce,E,Bact,256.1,149.5,306.6,453,727.8,871.0111111111111
GreEBact7,7,Grèce,E,Bact,330.6,108,316,443.6,634.5,859.4999999999999
GreEBact8,8,Grèce,E,Bact,347,187.60000000000002,357.29999999999995,530.5,725.5,897.2
GreEBact9,9,Grèce,E,Bact,218.8,106.59999999999997,258.59999999999997,387.49999999999994,566.3,766.5999999999999
GreESte1,1,Grèce,E,Ste,337.7,180.09999999999997,364.50000000000006,508.2,742.5,798.0142857142857
GreESte10,10,Grèce,E,Ste,202.2,93,260.3,339.90000000000003,662.2,919.2
GreESte2,2,Grèce,E,Ste,384.9,212.70000000000005,431.4,524.2,762.7666666666668,915.6555555555557
GreESte3,3,Grèce,E,Ste,400,196.5,321.1,560.125,611.7777777777778,856.4285714285713
GreESte4,4,Grèce,E,Ste,459.2,209.50000000000006,343.8,441.90000000000003,638.8,924.2285714285713
GreESte5,5,Grèce,E,Ste,334,167.7,353.1,496.79999999999995,750.0999999999999,824.25
GreESte6,6,Grèce,E,Ste,383.7,198.09999999999997,344.90000000000003,507.96666666666664,751.8,851.2
GreESte7,7,Grèce,E,Ste,317.3,146.39999999999998,337.90000000000003,495.3,743.7,918.3666666666668
GreESte8,8,Grèce,E,Ste,382.6,141.95555555555552,126.29999999999995,396.29999999999995,554,758.775
GreESte9,9,Grèce,E,Ste,316,159.8,449.55555555555554,530.7777777777778,787.5555555555557,832.4285714285713
GrePBact1,1,Grèce,P,Bact,438.4,403.80000000000007,764.6,918.6999999999999,1134.7428571428572,NA
GrePBact10,10,Grèce,P,Bact,366.8,300.09999999999997,543.7,900.1000000000001,1107.575,1082.45
GrePBact2,2,Grèce,P,Bact,402.3,284.09999999999997,658.1000000000001,686.588888888889,1102.7,1283.3666666666668
GrePBact3,3,Grèce,P,Bact,450.3,307.40000000000003,680.2,860.1285714285714,1134.9857142857143,1125.7
GrePBact4,4,Grèce,P,Bact,413.4,342.9,725.6,892.6,1198.6,1228.2666666666669
GrePBact5,5,Grèce,P,Bact,377.2,330.09999999999997,649.5,884.4666666666667,1142.2285714285713,1290.3
GrePBact6,6,Grèce,P,Bact,272.3,292.3,554,884.4777777777779,1306.45,1217.7
GrePBact7,7,Grèce,P,Bact,306,221,696.6,835,1128.5555555555557,1267.5
GrePBact8,8,Grèce,P,Bact,315.3,284.59999999999997,574.5999999999999,726.4000000000001,1127,1156.45
GrePBact9,9,Grèce,P,Bact,223.7,256.6,457.3,708.9000000000001,922.411111111111,1051.3
GrePSte1,1,Grèce,P,Ste,369.2,369.59999999999997,599.7,881.4666666666667,1182.3714285714286,1291.3
GrePSte10,10,Grèce,P,Ste,257.9,203.90000000000003,498.9,713,1066.988888888889,1108.6
GrePSte2,2,Grèce,P,Ste,378.8,313.8,784.5,871,1150.075,1144.2
GrePSte3,3,Grèce,P,Ste,365.1,261.5,613.6,857.4,1067.5666666666666,1090.1
GrePSte4,4,Grèce,P,Ste,355.7,313.3,582.0999999999999,778.6333333333332,1200.5222222222221,1211.3
GrePSte5,5,Grèce,P,Ste,348.7,299.90000000000003,567.5999999999999,769.8999999999999,1057.0777777777778,996.3
GrePSte6,6,Grèce,P,Ste,375.9,394.1,583.7,916.1,1144.6,1212.3000000000002
GrePSte7,7,Grèce,P,Ste,307.2,217.2,655.9000000000001,786.5,1135.6571428571428,1103.2
GrePSte8,8,Grèce,P,Ste,293.4,247.39999999999998,558.1,925.6999999999999,1283.1,1288.6
GrePSte9,9,Grèce,P,Ste,282.5,208.60000000000002,484.1,727.1,989.7,1074
ItaCBact1,1,Italie,C,Bact,364.2,355.2,619.5,779.2444444444443,1047.942857142857,974.8
ItaCBact10,10,Italie,C,Bact,326.4,185.20000000000005,520,823.7111111111111,1018.225,817.1
ItaCBact2,2,Italie,C,Bact,397,332.6,837.0999999999999,905.625,868.4000000000001,987
ItaCBact3,3,Italie,C,Bact,390.4,369.5,665.3000000000001,759.0285714285714,1079.6,1236.6
ItaCBact4,4,Italie,C,Bact,483.3,332.09999999999997,670.2,892.9000000000001,1028.2,NA
ItaCBact5,5,Italie,C,Bact,427.8,360.3,646.9000000000001,906.95,968.2,1196.2
ItaCBact6,6,Italie,C,Bact,366.8,297.7,566.0999999999999,814.088888888889,1023.7,1293.7
ItaCBact7,7,Italie,C,Bact,340.8,238.49999999999994,721.1000000000001,890.6000000000001,1078.6000000000001,1266.2
ItaCBact8,8,Italie,C,Bact,282.3,233.99999999999994,500.2,757.3,1085.9,1007.5
ItaCBact9,9,Italie,C,Bact,339.6,281.1,550.9,777.1,929.775,1057.4
ItaCSte1,1,Italie,C,Ste,407,377.1,648.5999999999999,862.125,1129.6666666666667,1288.25
ItaCSte10,10,Italie,C,Ste,291.9,298.20000000000005,608.3000000000001,1051.5444444444443,1052.6999999999998,1263.7666666666669
ItaCSte2,2,Italie,C,Ste,370.1,278.29999999999995,758.4999999999999,832.6777777777778,1205.5666666666666,1210.2333333333331
ItaCSte3,3,Italie,C,Ste,436.2,370.7,641.0999999999999,825.5142857142857,941.5999999999999,979.8
ItaCSte4,4,Italie,C,Ste,418,317.4,680.8,779,1045.5,989
ItaCSte5,5,Italie,C,Ste,382.5,333.70000000000005,677.7,871.75,1138.6666666666667,1071
ItaCSte6,6,Italie,C,Ste,383.1,292.79999999999995,533.9,679.9,890.6999999999999,851.2333333333332
ItaCSte7,7,Italie,C,Ste,412.4,298,839.3000000000001,1045.3777777777777,1040.2666666666669,1240.6
ItaCSte8,8,Italie,C,Ste,360.9,238.20000000000005,591.2,883.0000000000001,1000.225,958.1
ItaCSte9,9,Italie,C,Ste,364.7,310.8,654,672.5999999999999,919.7285714285713,686.8
ItaDBact1,1,Italie,D,Bact,488.9,429.4,621.9,731.2428571428571,806.1,994.1
ItaDBact10,10,Italie,D,Bact,307.4,265.5,624.8000000000001,908.8000000000001,1090.8857142857141,1007.6
ItaDBact2,2,Italie,D,Bact,433.6,274.1,712.6,744.2571428571429,1131.15,1099.4
ItaDBact3,3,Italie,D,Bact,494.8,273.3,578.7,837.3428571428572,932.45,994.2
ItaDBact4,4,Italie,D,Bact,484.2,65.80000000000001,391.00000000000006,666.4666666666667,850.425,934.1333333333332
ItaDBact5,5,Italie,D,Bact,271.45454545454544,224.24545454545455,476.6454545454546,851.3232323232323,1176.8787878787878,NA
ItaDBact6,6,Italie,D,Bact,469.9,392.70000000000005,643.9,886.3857142857142,1120.1,NA
ItaDBact7,7,Italie,D,Bact,391.7,258.3,711.5999999999999,865.5222222222221,883.8999999999999,1451.3
ItaDBact8,8,Italie,D,Bact,406.8,243.90000000000003,625.5,1048.2,1159.3666666666668,1118.8666666666668
ItaDBact9,9,Italie,D,Bact,385.8,282.59999999999997,705.2,698.7,1094.3666666666668,1218.2
ItaDSte1,1,Italie,D,Ste,405.5,357.1,748.8,849.6111111111111,1199.3,1082.5
ItaDSte10,10,Italie,D,Ste,377.7,302.00000000000006,582.2,909.3999999999999,1066.7,1239.05
ItaDSte2,2,Italie,D,Ste,387.8,254.3,726.7,816.7,1029,998.2
ItaDSte3,3,Italie,D,Ste,396.7,304.90000000000003,705.0999999999999,862.7285714285713,849.3,-25.69999999999999
ItaDSte4,4,Italie,D,Ste,404.7,320.50000000000006,576,1069.9666666666667,1131.1,1210.3
ItaDSte5,5,Italie,D,Ste,187.8882509303562,280.4117490696438,666.6117490696438,870.6117490696438,1126.445082402977,1169.6117490696438
ItaDSte6,6,Italie,D,Ste,340.9,361.1,589.3000000000001,794.6555555555557,1132.5285714285715,1000.1
ItaDSte7,7,Italie,D,Ste,418.2,325.2,844.7,865.5142857142857,962.8,1090.8
ItaDSte8,8,Italie,D,Ste,307.8,195.2,468.09999999999997,680.5333333333333,813.95,680.2
ItaDSte9,9,Italie,D,Ste,305.1,197.67777777777775,550.9,843.15,1169.7571428571428,1405.9
ItaEBact1,1,Italie,E,Bact,403.1,199.39999999999998,409.69999999999993,502.19999999999993,685.7888888888889,264.65
ItaEBact10,10,Italie,E,Bact,290.7,116.60000000000002,299.90000000000003,480.2,699.3,831.1888888888889
ItaEBact2,2,Italie,E,Bact,455.6,168,423.19999999999993,521.6,676.4,885.6857142857142
ItaEBact3,3,Italie,E,Bact,480.7,210.8,424.50000000000006,496.6333333333334,633.3,829.6333333333332
ItaEBact4,4,Italie,E,Bact,439.4,185.39999999999998,413.4,518.9,710.1555555555557,697.475
ItaEBact5,5,Italie,E,Bact,321,129.8,302.6,531,663.4444444444445,790.375
ItaEBact6,6,Italie,E,Bact,332.3,174.59999999999997,309.59999999999997,589.9222222222222,787.95,994.1285714285714
ItaEBact7,7,Italie,E,Bact,408.2,170.00000000000006,370.8,573.8,741.2444444444443,761.8
ItaEBact8,8,Italie,E,Bact,405.4,160.30000000000007,377.30000000000007,560.7,735.7111111111111,883.1714285714287
ItaEBact9,9,Italie,E,Bact,295,79.5,269.6,336,581.6,688.4
ItaESte1,1,Italie,E,Ste,380.7,140.7,403.7,493.50000000000006,713.05,787.4666666666667
ItaESte10,10,Italie,E,Ste,325.5,75.10000000000002,272.9,602.1666666666666,817.1666666666667,861.5
ItaESte2,2,Italie,E,Ste,390.3,103.80000000000001,318.3,469.40000000000003,701.2,889.7
ItaESte3,3,Italie,E,Ste,466,193.39999999999998,380.1,466.77777777777783,650.1111111111111,698.1428571428571
ItaESte4,4,Italie,E,Ste,423.1,232.29999999999995,374.19999999999993,602.0111111111111,729.2333333333332,887.9
ItaESte5,5,Italie,E,Ste,353.1,139,382.69999999999993,554.1,714.9,818.1
ItaESte6,6,Italie,E,Ste,454.4,179.20000000000005,352,488.70000000000005,687.1,789.1
ItaESte7,7,Italie,E,Ste,379,121.10000000000002,406.4,469.9,664.4000000000001,736.5
ItaESte8,8,Italie,E,Ste,350,84,282,377.44444444444446,538.2222222222222,794.4444444444443
ItaESte9,9,Italie,E,Ste,342.5,121.94444444444446,312.27777777777783,390.7222222222222,500.625,722.375
ItaPBact1,1,Italie,P,Bact,373.1,303.4,551.1999999999999,831.3444444444443,1118.3285714285712,1374.65
ItaPBact10,10,Italie,P,Bact,420.7,253.90000000000003,611.0999999999999,862.05,1112.55,1072.3
ItaPBact2,2,Italie,P,Bact,413.4,240.80000000000007,684.1999999999999,777.725,1128.1,1174.9333333333334
ItaPBact3,3,Italie,P,Bact,399.2,324.8,706.0999999999999,900.3714285714286,1107.2,1412.8
ItaPBact4,4,Italie,P,Bact,482.9,367.6,677.8000000000001,728.1,1082.1,1275.1
ItaPBact5,5,Italie,P,Bact,422.8,286.7,553.0999999999999,678.7,1047.5333333333333,1071
ItaPBact6,6,Italie,P,Bact,422.5,315.20000000000005,602.9000000000001,867.0999999999999,1069.7,1175.5
ItaPBact7,7,Italie,P,Bact,314.9,221.39999999999998,662.9,896.1999999999999,1141.6555555555556,1354.6
ItaPBact8,8,Italie,P,Bact,397.5,247.10000000000002,590.4,871.25,1092.75,1066.5
ItaPBact9,9,Italie,P,Bact,321,226.10000000000002,582.3333333333334,764.4444444444443,925,2145
ItaPSte1,1,Italie,P,Ste,432.3,367.90000000000003,575.7,725.325,874.7,1072.3666666666668
ItaPSte10,10,Italie,P,Ste,248.5,222.72222222222223,540.1666666666666,721.625,1049.3333333333333,1102.75
ItaPSte2,2,Italie,P,Ste,401.7,354.50000000000006,791,883.9666666666667,1017.3,1306.3
ItaPSte3,3,Italie,P,Ste,359.3,338.2,688.9000000000001,841.075,1107.9,937.7
ItaPSte4,4,Italie,P,Ste,420.3,321.7,651.5,844.2714285714287,1016.4142857142858,1132.7
ItaPSte5,5,Italie,P,Ste,418.3,290.2,698.7,790.2714285714287,1102.1285714285714,1178.2
ItaPSte6,6,Italie,P,Ste,333.8,297.49999999999994,584,955.9777777777779,1174.075,1121.5333333333333
ItaPSte7,7,Italie,P,Ste,401.9,217,735.1999999999999,924.6,1030.7666666666669,1243.1
ItaPSte8,8,Italie,P,Ste,312.8,204.99999999999994,535.5,662.95,984.3666666666668,567.2
ItaPSte9,9,Italie,P,Ste,278,192,484,788.5,1017.9000000000001,1117.8
