Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Acc,Times
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,14,693.1,14
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,16,726.6,16
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,18,720.1,18
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,2,99.89999999999998,2
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,4,196.10000000000002,4
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,7,268.79999999999995,7
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,9,342.6,9
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,11,475.4,11
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,14,684.9000000000001,14
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,16,714.2777777777778,16
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,18,737.8333333333333,18
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,2,47,2
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,4,149.39999999999998,4
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,7,266.5,7
10-Ita9BacNon-B9,B9,Bac,Non,Ita,5245,10,524.5,Non Bac,9,387.79999999999995,9
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,11,488.15,11
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,14,573.775,14
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,16,609.9714285714286,16
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,18,592.5428571428571,18
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,2,81.1777777777778,2
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,4,222.14999999999998,4
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,7,307.65,7
11-Can2LevSer-B2,B2,Lev,Ser,Can,5956,10,595.6,Ser Lev,9,391.525,9
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,11,390.8,11
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,14,607.5999999999999,14
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,16,653.8999999999999,16
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,18,640.5999999999999,18
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,2,100.80000000000001,2
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,4,143.8,4
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,7,238.2,7
11-Can7LevSte-B7,B7,Lev,Ste,Can,4407,10,440.7,Ste Lev,9,350.59999999999997,9
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,11,363.20000000000005,11
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,14,546.2,14
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,16,546.3,16
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,18,518.5999999999999,18
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,2,123.29999999999995,2
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,4,181.5,4
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,7,174.29999999999995,7
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,9,265.4,9
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,11,580.1999999999999,11
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,14,774.3000000000001,14
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,16,888.6999999999999,16
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,18,919.4888888888889,18
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,2,157.39999999999998,2
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,4,253.10000000000002,4
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,7,336.30000000000007,7
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,9,513.6,9
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,11,605.3000000000001,11
