Identity,Bloc,Trt,Wound,Strain,group,Time,Mort_Acc,Times
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,16,0,16
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,18,0,18
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,0,0,0
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,2,0,2
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,4,0,4
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,7,0,7
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,9,0,9
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,11,0,11
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,14,0,14
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,16,0,16
16-Ita1ConSte-B1,B1,Con,Ste,Ita,Ita Ste,18,0,18
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,0,0,0
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,2,0,2
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,4,0,4
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,7,0,7
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,9,0,9
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,11,0,11
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,14,0,14
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,16,0,16
17-Can1ConSte-B1,B1,Con,Ste,Can,Can Ste,18,0,18
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,0,0,0
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,2,0,2
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,4,0,4
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,7,0,7
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,9,0,9
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,11,0,11
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,14,0,14
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,16,0,16
18-Gre1ConSte-B1,B1,Con,Ste,Gre,Gre Ste,18,0,18
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,0,0,0
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,2,0,2
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,4,0,4
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,7,0,7
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,9,0,9
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,11,0,11
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,14,0,14
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,16,0,16
19-Gre1LevSte-B1,B1,Lev,Ste,Gre,Gre Ste,18,0,18
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,0,0,0
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,2,0,2
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,4,0,4
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,7,1,7
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,9,1,9
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,11,1,11
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,14,1,14
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,16,1,16
20-Ita1LevSte-B1,B1,Lev,Ste,Ita,Ita Ste,18,2,18
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,0,0,0
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,2,0,2
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,4,0,4
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,7,0,7
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,9,0,9
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,11,0,11
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,14,0,14
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,16,0,16
21-Can1LevSte-B1,B1,Lev,Ste,Can,Can Ste,18,0,18
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,0,0,0
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,2,1,2
22-Can1BacSer-B1,B1,Bac,Ser,Can,Can Ser,4,1,4
