Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Rate,Times
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,16,33.700000000000045,16
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,18,17.649999999999977,18
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,2,57.23333333333335,2
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,4,14.899999999999977,4
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,7,6.26666666666669,7
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,9,118.69999999999999,9
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,11,58.64999999999998,11
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,14,30.51851851851855,14
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,16,52.90972222222217,16
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,18,-31.6875,18
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,2,25.76666666666665,2
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,4,8.850000000000023,4
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,7,-4.799999999999993,7
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,9,57.30000000000001,9
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,11,38.89999999999998,11
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,14,90.90000000000002,14
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,16,16.75,16
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,18,-3.25,18
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,2,33.29999999999999,2
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,4,48.10000000000002,4
