Identity,Bloc,Trt,Wound,Strain,Time,Initial_Mass,Initial_Number,Initial_Mean,Mean,group,Mort_Acc,Times,Biomass
1-Ita7BacNon-B7,B7,Bac,Non,Ita,11,4998,10,499.8,1054.5,Ita Non,0,11,10545
1-Ita7BacNon-B7,B7,Bac,Non,Ita,14,4998,10,499.8,1249.7,Ita Non,0,14,12497
1-Ita7BacNon-B7,B7,Bac,Non,Ita,16,4998,10,499.8,1216.1,Ita Non,0,16,12161
1-Ita7BacNon-B7,B7,Bac,Non,Ita,18,4998,10,499.8,1185,Ita Non,0,18,11850
1-Ita7BacNon-B7,B7,Bac,Non,Ita,2,4998,10,499.8,732.1,Ita Non,0,2,7321
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4,4998,10,499.8,803.8,Ita Non,0,4,8038
1-Ita7BacNon-B7,B7,Bac,Non,Ita,7,4998,10,499.8,787,Ita Non,0,7,7870
1-Ita7BacNon-B7,B7,Bac,Non,Ita,9,4998,10,499.8,887,Ita Non,0,9,8870
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,0,4751,10,475.1,475.1,Ita Ste,0,0,4751
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,11,4751,10,475.1,954.1,Ita Ste,0,11,9541
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,14,4751,10,475.1,1092,Ita Ste,0,14,10920
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,16,4751,10,475.1,1188.3333333333333,Ita Ste,0,16,11883.333333333332
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,18,4751,10,475.1,1230.625,Ita Ste,0,18,12306.25
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,2,4751,10,475.1,589.6,Ita Ste,0,2,5896
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4,4751,10,475.1,671.3,Ita Ste,0,4,6713
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,7,4751,10,475.1,769.6,Ita Ste,0,7,7696
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,9,4751,10,475.1,867.5,Ita Ste,0,9,8675
10-Can10ConNon-B10,B10,Con,Non,Can,0,4009,10,400.9,400.9,Can Non,0,0,4009
10-Can10ConNon-B10,B10,Con,Non,Can,11,4009,10,400.9,886.6,Can Non,0,11,8866
10-Can10ConNon-B10,B10,Con,Non,Can,14,4009,10,400.9,1076.1,Can Non,0,14,10761
10-Can10ConNon-B10,B10,Con,Non,Can,16,4009,10,400.9,1090.4,Can Non,0,16,10904
10-Can10ConNon-B10,B10,Con,Non,Can,18,4009,10,400.9,1090.9,Can Non,0,18,10909
10-Can10ConNon-B10,B10,Con,Non,Can,2,4009,10,400.9,487.2,Can Non,0,2,4872
10-Can10ConNon-B10,B10,Con,Non,Can,4,4009,10,400.9,578.7,Can Non,0,4,5787
10-Can10ConNon-B10,B10,Con,Non,Can,7,4009,10,400.9,705.5,Can Non,0,7,7055
10-Can10ConNon-B10,B10,Con,Non,Can,9,4009,10,400.9,797.1,Can Non,0,9,7971
10-Can4LevSte-B4,B4,Lev,Ste,Can,0,5653,10,565.3,565.3,Can Ste,0,0,5653
10-Can4LevSte-B4,B4,Lev,Ste,Can,11,5653,10,565.3,959.9,Can Ste,0,11,9599
10-Can4LevSte-B4,B4,Lev,Ste,Can,14,5653,10,565.3,1146.2,Can Ste,0,14,11462
10-Can4LevSte-B4,B4,Lev,Ste,Can,16,5653,10,565.3,1172.4,Can Ste,0,16,11724
10-Can4LevSte-B4,B4,Lev,Ste,Can,18,5653,10,565.3,1168.1,Can Ste,0,18,11681
10-Can4LevSte-B4,B4,Lev,Ste,Can,2,5653,10,565.3,617.9,Can Ste,0,2,6179
10-Can4LevSte-B4,B4,Lev,Ste,Can,4,5653,10,565.3,718,Can Ste,0,4,7180
10-Can4LevSte-B4,B4,Lev,Ste,Can,7,5653,10,565.3,767.2,Can Ste,0,7,7672
10-Can4LevSte-B4,B4,Lev,Ste,Can,9,5653,10,565.3,888.5,Can Ste,0,9,8885
10-Can6BacSte-B6,B6,Bac,Ste,Can,0,4267,10,426.7,426.7,Can Ste,0,0,4267
10-Can6BacSte-B6,B6,Bac,Ste,Can,11,4267,10,426.7,678.9,Can Ste,0,11,6789
10-Can6BacSte-B6,B6,Bac,Ste,Can,14,4267,10,426.7,959,Can Ste,0,14,9590
10-Can6BacSte-B6,B6,Bac,Ste,Can,16,4267,10,426.7,977.7,Can Ste,0,16,9777
10-Can6BacSte-B6,B6,Bac,Ste,Can,18,4267,10,426.7,964.9,Can Ste,0,18,9649
10-Can6BacSte-B6,B6,Bac,Ste,Can,2,4267,10,426.7,436.6,Can Ste,0,2,4366
10-Can6BacSte-B6,B6,Bac,Ste,Can,4,4267,10,426.7,472.4,Can Ste,0,4,4724
10-Can6BacSte-B6,B6,Bac,Ste,Can,7,4267,10,426.7,636.9,Can Ste,0,7,6369
10-Can6BacSte-B6,B6,Bac,Ste,Can,9,4267,10,426.7,649.4,Can Ste,0,9,6494
10-Gre1ConNon-B1,B1,Con,Non,Gre,0,5136,10,513.6,513.6,Gre Non,0,0,5136
10-Gre1ConNon-B1,B1,Con,Non,Gre,11,5136,10,513.6,1067.2,Gre Non,0,11,10672
10-Gre1ConNon-B1,B1,Con,Non,Gre,14,5136,10,513.6,1292,Gre Non,0,14,12920
10-Gre1ConNon-B1,B1,Con,Non,Gre,16,5136,10,513.6,1330.3,Gre Non,0,16,13303
10-Gre1ConNon-B1,B1,Con,Non,Gre,18,5136,10,513.6,1355.3,Gre Non,0,18,13553
10-Gre1ConNon-B1,B1,Con,Non,Gre,2,5136,10,513.6,641.5,Gre Non,0,2,6415
10-Gre1ConNon-B1,B1,Con,Non,Gre,4,5136,10,513.6,769.4,Gre Non,0,4,7694
10-Gre1ConNon-B1,B1,Con,Non,Gre,7,5136,10,513.6,822.3,Gre Non,0,7,8223
