Identity,Bloc,Trt,Wound,Strain,Day,Initial_Mass,Mass,Initial_Number,Number,Mean,Survival,True_Mass
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,14,6582,10087,9,9,1120.7777777777778,9,10087
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,16,6582,10681,9,9,1186.7777777777778,9,10681
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,18,6582,10219,9,10,1021.9,10,10219
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,2,6582,7500,9,10,750,10,7500
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,4,6582,7847,9,10,784.7,10,7847
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,7,6582,8342,9,10,834.2,10,8342
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,9,6582,8062,9,9,895.7777777777778,9,8062
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,11,6412,10162,10,10,1016.2,10,10162
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,14,6412,11114,10,10,1111.4,10,11114
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,16,6412,12069,10,10,1206.9,10,12069
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,18,6412,12216,10,10,1221.6,10,12216
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,2,6412,7072,10,10,707.2,10,7072
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,4,6412,7244,10,10,724.4,10,7244
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,7,6412,7858,10,10,785.8,10,7858
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,9,6412,9333,10,10,933.3,10,9333
10-Gre5ConSte-B5,B5,Con,Ste,Gre,11,4069,9953,10,10,995.3,10,9953
10-Gre5ConSte-B5,B5,Con,Ste,Gre,14,4069,10753,10,10,1075.3,10,10753
10-Gre5ConSte-B5,B5,Con,Ste,Gre,16,4069,11427,10,10,1142.7,10,11427
10-Gre5ConSte-B5,B5,Con,Ste,Gre,18,4069,11780,10,10,1178,10,11780
10-Gre5ConSte-B5,B5,Con,Ste,Gre,2,4069,5786,10,10,578.6,10,5786
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4,4069,6084,10,10,608.4,10,6084
10-Gre5ConSte-B5,B5,Con,Ste,Gre,7,4069,6272,10,10,627.2,10,6272
10-Gre5ConSte-B5,B5,Con,Ste,Gre,9,4069,8646,10,10,864.6,10,8646
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,11,6575,8730,10,9,970,9,8730
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,14,6575,9554,10,9,1061.5555555555557,9,9554
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,16,6575,9339,10,8,1167.375,8,9339
