"","Identity","Bloc","Trt","Wound","Strain","Time","Survival","Initial_Mass","Initial_Number","Initial_Mean","group","Growth_Acc","Times","Biom_Acc"
"84","10-Can10ConNon-B10","B10","Con","Non","Can","18",10,4009,10,400.9,"Non Con",690,"18",6900
"85","10-Can10ConNon-B10","B10","Con","Non","Can","2",10,4009,10,400.9,"Non Con",86.3,"2",863
"86","10-Can10ConNon-B10","B10","Con","Non","Can","4",10,4009,10,400.9,"Non Con",177.8,"4",1778
"87","10-Can10ConNon-B10","B10","Con","Non","Can","7",10,4009,10,400.9,"Non Con",304.6,"7",3046
"88","10-Can10ConNon-B10","B10","Con","Non","Can","9",10,4009,10,400.9,"Non Con",396.2,"9",3962
"89","10-Can4LevSte-B4","B4","Lev","Ste","Can","11",10,5653,10,565.3,"Ste Lev",394.6,"11",3946
"90","10-Can4LevSte-B4","B4","Lev","Ste","Can","14",10,5653,10,565.3,"Ste Lev",580.9,"14",5809
"91","10-Can4LevSte-B4","B4","Lev","Ste","Can","16",10,5653,10,565.3,"Ste Lev",607.1,"16",6071
"92","10-Can4LevSte-B4","B4","Lev","Ste","Can","18",10,5653,10,565.3,"Ste Lev",602.8,"18",6028
"93","10-Can4LevSte-B4","B4","Lev","Ste","Can","2",10,5653,10,565.3,"Ste Lev",52.6,"2",526
"94","10-Can4LevSte-B4","B4","Lev","Ste","Can","4",10,5653,10,565.3,"Ste Lev",152.7,"4",1527
"95","10-Can4LevSte-B4","B4","Lev","Ste","Can","7",10,5653,10,565.3,"Ste Lev",201.9,"7",2019
"96","10-Can4LevSte-B4","B4","Lev","Ste","Can","9",10,5653,10,565.3,"Ste Lev",323.2,"9",3232
"97","10-Can6BacSte-B6","B6","Bac","Ste","Can","11",10,4267,10,426.7,"Ste Bac",252.2,"11",2522
"98","10-Can6BacSte-B6","B6","Bac","Ste","Can","14",10,4267,10,426.7,"Ste Bac",532.3,"14",5323
"99","10-Can6BacSte-B6","B6","Bac","Ste","Can","16",10,4267,10,426.7,"Ste Bac",551,"16",5510
