"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Rate","Times"
"124","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",18,7.34999999999991,"18"
"125","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",2,22,"2"
"126","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",4,8.59999999999997,"4"
"127","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",7,20.4666666666667,"7"
"128","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",9,73.75,"9"
"129","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",11,65.35,"11"
"130","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",14,26.6666666666667,"14"
"131","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",16,33.7,"16"
"132","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",18,17.65,"18"
"133","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",2,57.2333333333333,"2"
"134","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",4,14.9,"4"
"135","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",7,6.26666666666669,"7"
"136","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",9,118.7,"9"
"137","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",11,58.65,"11"
"138","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",14,30.5185185185186,"14"
"139","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",16,52.9097222222222,"16"
"140","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",18,-31.6875,"18"
"141","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",2,25.7666666666667,"2"
"142","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",4,8.85000000000002,"4"
"143","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",7,-4.79999999999999,"7"
"144","10-Gre8BacSer-B8","B8","Bac","Ser","Gre",6575,10,657.5,"Ser Bac",9,57.3,"9"
"145","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",11,38.9,"11"
"146","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",14,90.9,"14"
"147","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",16,16.75,"16"
"148","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",18,-3.25,"18"
"149","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",2,33.3,"2"
"150","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",4,48.1,"4"
"151","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",7,24.2333333333333,"7"
"152","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",9,36.9,"9"
"153","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",11,43.8,"11"
"154","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",14,69.8333333333334,"14"
