"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Acc","Times"
"84","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",18,690,"18"
"85","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",2,86.3,"2"
"86","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",4,177.8,"4"
"87","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",7,304.6,"7"
"88","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",9,396.2,"9"
"89","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",11,394.6,"11"
"90","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",14,580.9,"14"
"91","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",16,607.1,"16"
"92","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",18,602.8,"18"
"93","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",2,52.6,"2"
"94","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",4,152.7,"4"
"95","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",7,201.9,"7"
"96","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",9,323.2,"9"
"97","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",11,252.2,"11"
"98","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",14,532.3,"14"
"99","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",16,551,"16"
"100","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",18,538.2,"18"
"101","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",2,9.90000000000003,"2"
"102","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",4,45.7,"4"
"103","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",7,210.2,"7"
"104","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",9,222.7,"9"
"105","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",11,553.6,"11"
"106","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",14,778.4,"14"
"107","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",16,816.7,"16"
"108","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",18,841.7,"18"
"109","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",2,127.9,"2"
"110","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",4,255.8,"4"
"111","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",7,308.7,"7"
"112","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",9,447.3,"9"
"113","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",11,256.333333333333,"11"
"114","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",14,389.444444444444,"14"
"115","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",16,455.444444444444,"16"
"116","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",18,290.566666666667,"18"
"117","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",2,18.6666666666666,"2"
"118","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",4,53.3666666666667,"4"
"119","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",7,102.866666666667,"7"
"120","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",9,164.444444444444,"9"
"121","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",11,375,"11"
"122","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",14,470.2,"14"
"123","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",16,565.7,"16"
"124","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",18,580.4,"18"
"125","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",2,66,"2"
"126","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",4,83.1999999999999,"4"
"127","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",7,144.6,"7"
"128","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",9,292.1,"9"
"129","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",11,588.4,"11"
"130","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",14,668.4,"14"
"131","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",16,735.8,"16"
"132","10-Gre5ConSte-B5","B5","Con","Ste","Gre",4069,10,406.9,"Ste Con",18,771.1,"18"
