"","Identity","Bloc","Trt","Wound","Strain","group","Time","Mort_Acc","Times"
"197","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",16,1,"16"
"198","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",18,1,"18"
"199","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",0,0,"0"
"200","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",2,0,"2"
"201","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",4,0,"4"
"202","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",7,0,"7"
"203","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",9,0,"9"
"204","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",11,0,"11"
"205","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",14,0,"14"
"206","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",16,0,"16"
"207","23-Gre1BacSer-B1","B1","Bac","Ser","Gre","Gre Ser",18,0,"18"
"208","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",0,0,"0"
"209","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",2,1,"2"
"210","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",4,1,"4"
"211","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",7,1,"7"
"212","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",9,1,"9"
"213","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",11,1,"11"
"214","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",14,1,"14"
"215","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",16,1,"16"
"216","24-Ita1BacSer-B1","B1","Bac","Ser","Ita","Ita Ser",18,1,"18"
"217","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",0,0,"0"
"218","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",2,0,"2"
"219","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",4,0,"4"
"220","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",7,0,"7"
"221","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",9,0,"9"
"222","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",11,0,"11"
"223","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",14,0,"14"
"224","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",16,0,"16"
"225","25-Can1BacNon-B1","B1","Bac","Non","Can","Can Non",18,0,"18"
"226","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",0,0,"0"
"227","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",2,0,"2"
"228","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",4,0,"4"
"229","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",7,0,"7"
"230","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",9,0,"9"
"231","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",11,0,"11"
"232","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",14,0,"14"
"233","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",16,0,"16"
"234","26-Gre1BacNon-B1","B1","Bac","Non","Gre","Gre Non",18,0,"18"
"235","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",0,0,"0"
"236","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",2,0,"2"
"237","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",4,0,"4"
"238","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",7,0,"7"
"239","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",9,0,"9"
"240","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",11,0,"11"
"241","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",14,0,"14"
"242","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",16,0,"16"
"243","27-Ita1BacNon-B1","B1","Bac","Non","Ita","Ita Non",18,0,"18"
"244","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",0,0,"0"
"245","1-Gre2ConNon-B2","B2","Con","Non","Gre","Gre Non",2,0,"2"
