Rep,Bloc,Trt,Strain,Time,Survival,Mortality
AllC7,B7,C,All,9,9,10
AllC7,B7,C,All,10,9,10
AllC7,B7,C,All,11,9,10
AllC7,B7,C,All,12,9,10
AllC7,B7,C,All,13,9,10
AllC7,B7,C,All,14,9,10
AllC7,B7,C,All,0,10,0
AllC8,B8,C,All,1,9,10
AllC8,B8,C,All,2,9,10
AllC8,B8,C,All,3,9,10
AllC8,B8,C,All,4,9,10
AllC8,B8,C,All,5,9,10
AllC8,B8,C,All,6,9,10
AllC8,B8,C,All,7,9,10
AllC8,B8,C,All,8,9,10
AllC8,B8,C,All,9,9,10
AllC8,B8,C,All,10,9,10
AllC8,B8,C,All,11,8,20
AllC8,B8,C,All,12,8,20
AllC8,B8,C,All,13,8,20
AllC8,B8,C,All,14,8,20
AllC8,B8,C,All,0,10,0
AllC9,B9,C,All,1,10,0
AllC9,B9,C,All,2,10,0
AllC9,B9,C,All,3,10,0
AllC9,B9,C,All,4,10,0
AllC9,B9,C,All,5,10,0
AllC9,B9,C,All,6,10,0
AllC9,B9,C,All,7,10,0
AllC9,B9,C,All,8,10,0
AllC9,B9,C,All,9,10,0
AllC9,B9,C,All,10,10,0
AllC9,B9,C,All,11,10,0
AllC9,B9,C,All,12,10,0
AllC9,B9,C,All,13,10,0
AllC9,B9,C,All,14,10,0
AllC9,B9,C,All,0,10,0
EspB1,B1,B,Esp,1,10,0
EspB1,B1,B,Esp,2,10,0
EspB1,B1,B,Esp,3,9,10
EspB1,B1,B,Esp,4,9,10
EspB1,B1,B,Esp,5,9,10
EspB1,B1,B,Esp,6,9,10
EspB1,B1,B,Esp,7,9,10
EspB1,B1,B,Esp,8,9,10
EspB1,B1,B,Esp,9,9,10
EspB1,B1,B,Esp,10,9,10
EspB1,B1,B,Esp,11,9,10
EspB1,B1,B,Esp,12,9,10
EspB1,B1,B,Esp,13,9,10
EspB1,B1,B,Esp,14,9,10
EspB1,B1,B,Esp,0,10,0
EspB10,B10,B,Esp,1,9,10
EspB10,B10,B,Esp,2,9,10
EspB10,B10,B,Esp,3,9,10
EspB10,B10,B,Esp,4,9,10
EspB10,B10,B,Esp,5,9,10
EspB10,B10,B,Esp,6,9,10
EspB10,B10,B,Esp,7,9,10
EspB10,B10,B,Esp,8,9,10
EspB10,B10,B,Esp,9,9,10
EspB10,B10,B,Esp,10,8,20
EspB10,B10,B,Esp,11,8,20
EspB10,B10,B,Esp,12,8,20
EspB10,B10,B,Esp,13,8,20
EspB10,B10,B,Esp,14,8,20
EspB10,B10,B,Esp,0,10,0
EspB2,B2,B,Esp,1,10,0
EspB2,B2,B,Esp,2,10,0
EspB2,B2,B,Esp,3,10,0
EspB2,B2,B,Esp,4,10,0
EspB2,B2,B,Esp,5,10,0
EspB2,B2,B,Esp,6,10,0
EspB2,B2,B,Esp,7,9,10
EspB2,B2,B,Esp,8,9,10
EspB2,B2,B,Esp,9,9,10
EspB2,B2,B,Esp,10,9,10
EspB2,B2,B,Esp,11,9,10
EspB2,B2,B,Esp,12,9,10
EspB2,B2,B,Esp,13,8,20
EspB2,B2,B,Esp,14,8,20
EspB2,B2,B,Esp,0,10,0
EspB3,B3,B,Esp,1,8,20
EspB3,B3,B,Esp,2,8,20
EspB3,B3,B,Esp,3,8,20
EspB3,B3,B,Esp,4,8,20
EspB3,B3,B,Esp,5,8,20
EspB3,B3,B,Esp,6,8,20
EspB3,B3,B,Esp,7,8,20
EspB3,B3,B,Esp,8,8,20
EspB3,B3,B,Esp,9,7,30
EspB3,B3,B,Esp,10,6,40
EspB3,B3,B,Esp,11,6,40
EspB3,B3,B,Esp,12,6,40
EspB3,B3,B,Esp,13,6,40
EspB3,B3,B,Esp,14,6,40
EspB3,B3,B,Esp,0,10,0
EspB4,B4,B,Esp,1,9,10
EspB4,B4,B,Esp,2,9,10
EspB4,B4,B,Esp,3,9,10
EspB4,B4,B,Esp,4,8,20
EspB4,B4,B,Esp,5,8,20
EspB4,B4,B,Esp,6,8,20
EspB4,B4,B,Esp,7,8,20
EspB4,B4,B,Esp,8,8,20
EspB4,B4,B,Esp,9,8,20
EspB4,B4,B,Esp,10,8,20
EspB4,B4,B,Esp,11,8,20
EspB4,B4,B,Esp,12,8,20
EspB4,B4,B,Esp,13,8,20
EspB4,B4,B,Esp,14,8,20
EspB4,B4,B,Esp,0,10,0
EspB5,B5,B,Esp,1,9,10
EspB5,B5,B,Esp,2,9,10
EspB5,B5,B,Esp,3,9,10
EspB5,B5,B,Esp,4,9,10
EspB5,B5,B,Esp,5,9,10
EspB5,B5,B,Esp,6,9,10
EspB5,B5,B,Esp,7,9,10
EspB5,B5,B,Esp,8,9,10
EspB5,B5,B,Esp,9,9,10
EspB5,B5,B,Esp,10,9,10
EspB5,B5,B,Esp,11,8,20
EspB5,B5,B,Esp,12,8,20
EspB5,B5,B,Esp,13,7,30
EspB5,B5,B,Esp,14,7,30
EspB5,B5,B,Esp,0,10,0
EspB6,B6,B,Esp,1,10,0
EspB6,B6,B,Esp,2,10,0
EspB6,B6,B,Esp,3,10,0
EspB6,B6,B,Esp,4,10,0
EspB6,B6,B,Esp,5,10,0
EspB6,B6,B,Esp,6,10,0
EspB6,B6,B,Esp,7,10,0
EspB6,B6,B,Esp,8,10,0
EspB6,B6,B,Esp,9,10,0
EspB6,B6,B,Esp,10,10,0
EspB6,B6,B,Esp,11,10,0
EspB6,B6,B,Esp,12,10,0
EspB6,B6,B,Esp,13,10,0
EspB6,B6,B,Esp,14,10,0
EspB6,B6,B,Esp,0,10,0
EspB7,B7,B,Esp,1,9,10
EspB7,B7,B,Esp,2,9,10
EspB7,B7,B,Esp,3,8,20
EspB7,B7,B,Esp,4,8,20
