Rep,Bloc,Trt,Strain,Time,Growth
AllC3,B3,C,All,2,61.39999999999998
AllC3,B3,C,All,3,34.60000000000002
AllC3,B3,C,All,4,36.30000000000001
AllC3,B3,C,All,5,19.399999999999977
AllC3,B3,C,All,6,8.699999999999989
AllC3,B3,C,All,7,-8.5
AllC3,B3,C,All,8,21
AllC3,B3,C,All,9,-1
AllC4,B4,C,All,0,0
AllC4,B4,C,All,1,18.69999999999999
AllC4,B4,C,All,10,16.600000000000023
AllC4,B4,C,All,11,47
AllC4,B4,C,All,12,87.10000000000002
AllC4,B4,C,All,13,-15.877777777777851
AllC4,B4,C,All,14,65.77777777777783
AllC4,B4,C,All,2,121
AllC4,B4,C,All,3,-44
AllC4,B4,C,All,4,28.5
AllC4,B4,C,All,5,25.200000000000045
AllC4,B4,C,All,6,-6.2000000000000455
AllC4,B4,C,All,7,14.300000000000011
AllC4,B4,C,All,8,-2
AllC4,B4,C,All,9,0.6999999999999886
AllC5,B5,C,All,0,0
AllC5,B5,C,All,1,58.200000000000045
AllC5,B5,C,All,10,40.400000000000034
AllC5,B5,C,All,11,24.199999999999932
AllC5,B5,C,All,12,4
AllC5,B5,C,All,13,46.5
AllC5,B5,C,All,14,-6.199999999999932
AllC5,B5,C,All,2,44.799999999999955
AllC5,B5,C,All,3,8.800000000000011
AllC5,B5,C,All,4,27.80000000000001
AllC5,B5,C,All,5,59.10000000000002
AllC5,B5,C,All,6,-17.80000000000001
AllC5,B5,C,All,7,5.099999999999966
AllC5,B5,C,All,8,33.80000000000001
AllC5,B5,C,All,9,29
AllC6,B6,C,All,0,0
AllC6,B6,C,All,1,20.200000000000045
AllC6,B6,C,All,10,16.850000000000023
AllC6,B6,C,All,11,26.125
AllC6,B6,C,All,12,33.125
AllC6,B6,C,All,13,43.75
AllC6,B6,C,All,14,-12.125
AllC6,B6,C,All,2,84.39999999999998
AllC6,B6,C,All,3,58.60000000000002
AllC6,B6,C,All,4,34.19999999999993
AllC6,B6,C,All,5,2.800000000000068
AllC6,B6,C,All,6,34.60000000000002
AllC6,B6,C,All,7,7
AllC6,B6,C,All,8,23.399999999999977
AllC6,B6,C,All,9,28.799999999999955
AllC7,B7,C,All,0,0
AllC7,B7,C,All,1,31.69999999999999
AllC7,B7,C,All,10,38.66666666666663
AllC7,B7,C,All,11,14
AllC7,B7,C,All,12,29.555555555555543
AllC7,B7,C,All,13,25.33333333333337
AllC7,B7,C,All,14,5.555555555555543
AllC7,B7,C,All,2,95.60000000000002
AllC7,B7,C,All,3,-19.19999999999999
AllC7,B7,C,All,4,29.399999999999977
AllC7,B7,C,All,5,28.80000000000001
AllC7,B7,C,All,6,-6.100000000000023
AllC7,B7,C,All,7,9
AllC7,B7,C,All,8,42.4111111111111
AllC7,B7,C,All,9,32.66666666666674
AllC8,B8,C,All,0,0
AllC8,B8,C,All,1,101.11111111111109
AllC8,B8,C,All,10,31.444444444444343
AllC8,B8,C,All,11,15.277777777777828
AllC8,B8,C,All,12,114.75
AllC8,B8,C,All,13,9.625
AllC8,B8,C,All,14,30.125
AllC8,B8,C,All,2,69.11111111111114
AllC8,B8,C,All,3,29.111111111111086
AllC8,B8,C,All,4,20.22222222222223
AllC8,B8,C,All,5,29.33333333333337
AllC8,B8,C,All,6,-0.4444444444444571
AllC8,B8,C,All,7,20.444444444444457
AllC8,B8,C,All,8,31.66666666666663
AllC8,B8,C,All,9,13.222222222222285
AllC9,B9,C,All,0,0
AllC9,B9,C,All,1,-3.3999999999999773
AllC9,B9,C,All,10,38.49999999999994
AllC9,B9,C,All,11,24.800000000000068
AllC9,B9,C,All,12,42.10000000000002
AllC9,B9,C,All,13,32.19999999999993
AllC9,B9,C,All,14,-8.100000000000023
AllC9,B9,C,All,2,75.29999999999995
AllC9,B9,C,All,3,-0.7999999999999545
AllC9,B9,C,All,4,12.399999999999977
AllC9,B9,C,All,5,18.80000000000001
AllC9,B9,C,All,6,16.899999999999977
AllC9,B9,C,All,7,3.1000000000000227
AllC9,B9,C,All,8,49.30000000000001
AllC9,B9,C,All,9,32.69999999999999
EspB1,B1,B,Esp,0,0
EspB1,B1,B,Esp,1,1.4000000000000057
EspB1,B1,B,Esp,10,32.333333333333314
EspB1,B1,B,Esp,11,47.11111111111114
EspB1,B1,B,Esp,12,42.777777777777715
EspB1,B1,B,Esp,13,24.888888888888914
EspB1,B1,B,Esp,14,34.888888888888914
EspB1,B1,B,Esp,2,60.70000000000002
EspB1,B1,B,Esp,3,59.344444444444434
EspB1,B1,B,Esp,4,12.222222222222229
EspB1,B1,B,Esp,5,-6.7777777777777715
EspB1,B1,B,Esp,6,31.4444444444444
EspB1,B1,B,Esp,7,20.444444444444457
EspB1,B1,B,Esp,8,17
EspB1,B1,B,Esp,9,20.22222222222223
EspB10,B10,B,Esp,0,0
EspB10,B10,B,Esp,1,75.83333333333331
EspB10,B10,B,Esp,10,52.083333333333314
EspB10,B10,B,Esp,11,51.25
EspB10,B10,B,Esp,12,21.5
EspB10,B10,B,Esp,13,15
EspB10,B10,B,Esp,14,23.75
EspB10,B10,B,Esp,2,26.666666666666686
EspB10,B10,B,Esp,3,2.111111111111086
EspB10,B10,B,Esp,4,20.5555555555556
EspB10,B10,B,Esp,5,19.888888888888857
EspB10,B10,B,Esp,6,30.666666666666686
EspB10,B10,B,Esp,7,12.222222222222229
EspB10,B10,B,Esp,8,-6.7777777777777715
EspB10,B10,B,Esp,9,19
EspB2,B2,B,Esp,0,0
EspB2,B2,B,Esp,1,44.29999999999998
EspB2,B2,B,Esp,10,28
EspB2,B2,B,Esp,11,24.333333333333314
EspB2,B2,B,Esp,12,10.777777777777828
EspB2,B2,B,Esp,13,15.236111111111086
EspB2,B2,B,Esp,14,1.125
EspB2,B2,B,Esp,2,26.400000000000034
EspB2,B2,B,Esp,3,-1.5
EspB2,B2,B,Esp,4,21.599999999999966
EspB2,B2,B,Esp,5,5.900000000000034
EspB2,B2,B,Esp,6,4.699999999999989
EspB2,B2,B,Esp,7,-12.5
EspB2,B2,B,Esp,8,41.111111111111086
EspB2,B2,B,Esp,9,23.666666666666686
EspB3,B3,B,Esp,0,0
EspB3,B3,B,Esp,1,48.75
EspB3,B3,B,Esp,10,87.6904761904762
EspB3,B3,B,Esp,11,15.166666666666629
EspB3,B3,B,Esp,12,-28.5
EspB3,B3,B,Esp,13,10.333333333333371
EspB3,B3,B,Esp,14,-8.333333333333371
EspB3,B3,B,Esp,2,25.25
EspB3,B3,B,Esp,3,23.875
EspB3,B3,B,Esp,4,1.625
EspB3,B3,B,Esp,5,15.25
EspB3,B3,B,Esp,6,7.625
EspB3,B3,B,Esp,7,-0.625
EspB3,B3,B,Esp,8,25.25
EspB3,B3,B,Esp,9,65.14285714285717
EspB4,B4,B,Esp,0,0
EspB4,B4,B,Esp,1,38.34444444444446
EspB4,B4,B,Esp,10,42.875
EspB4,B4,B,Esp,11,2.375
EspB4,B4,B,Esp,12,92
EspB4,B4,B,Esp,13,41.75
EspB4,B4,B,Esp,14,19.875
EspB4,B4,B,Esp,2,23.111111111111086
EspB4,B4,B,Esp,3,11.666666666666686
EspB4,B4,B,Esp,4,47.40277777777777
EspB4,B4,B,Esp,5,27.375
EspB4,B4,B,Esp,6,4.625
EspB4,B4,B,Esp,7,11.5
EspB4,B4,B,Esp,8,52.75
EspB4,B4,B,Esp,9,7.125
EspB5,B5,B,Esp,0,0
EspB5,B5,B,Esp,1,51.22222222222223
EspB5,B5,B,Esp,10,33.88888888888886
EspB5,B5,B,Esp,11,2.0416666666666856
EspB5,B5,B,Esp,12,8
EspB5,B5,B,Esp,13,65.76785714285711
EspB5,B5,B,Esp,14,-0.4285714285714448
EspB5,B5,B,Esp,2,24.888888888888857
EspB5,B5,B,Esp,3,15.222222222222229
EspB5,B5,B,Esp,4,14
EspB5,B5,B,Esp,5,23.444444444444457
EspB5,B5,B,Esp,6,-3.8888888888888573
EspB5,B5,B,Esp,7,10.4444444444444
EspB5,B5,B,Esp,8,42.77777777777777
EspB5,B5,B,Esp,9,26.33333333333337
EspB6,B6,B,Esp,0,0
EspB6,B6,B,Esp,1,25.19999999999999
EspB6,B6,B,Esp,10,8.800000000000011
EspB6,B6,B,Esp,11,17.19999999999999
EspB6,B6,B,Esp,12,6.100000000000023
